iter	Passed	Remaining
257	2871	2693
258	2877	2677
259	2882	2661
260	2888	2644
261	2893	2628
262	2898	2612
263	2903	2595
264	2908	2579
265	2914	2563
266	2920	2548
267	2925	2532
268	2931	2517
269	2936	2501
270	2942	2486
271	2947	2471
272	2954	2456
273	2959	2441
274	2965	2426
275	2971	2411
276	2977	2397
277	2983	2382
278	2990	2369
279	2996	2354
280	3004	2341
281	3009	2326
282	3016	2313
283	3022	2298
284	3028	2284
285	3035	2271
286	3042	2258
287	3049	2244
288	3055	2230
289	3062	2217
290	3069	2204
291	3075	2190
292	3082	2177
293	3089	2164
294	3096	2151
295	3104	2139
296	3109	2125
297	3115	2111
298	3122	2098
299	3128	2085
300	3135	2072
301	3140	2059
302	3147	2046
303	3154	2034
304	3161	2021
305	3168	2009
306	3175	1996
307	3182	1983
308	3189	1971
309	3197	1959
310	3203	1947
311	3212	1935
312	3218	1922
313	3223	1909
314	3229	1896
315	3234	1883
316	3241	1871
317	3246	1857
318	3251	1844
319	3256	1831
320	3261	1818
321	3267	1806
322	3272	1793
323	3278	1780
324	3284	1768
325	3290	1756
326	3295	1743
327	3305	1733
328	3310	1720
329	3316	1708
330	3321	1695
331	3327	1683
332	3332	1671
333	3337	1658
334	3343	1646
335	3348	1634
336	3354	1622
337	3359	1610
338	3365	1598
339	3370	1586
340	3375	1574
341	3380	1561
342	3386	1549
343	3391	1538
344	3396	1525
345	3402	1514
346	3409	1503
347	3415	1491
348	3420	1479
349	3425	1468
350	3430	1456
351	3436	1444
352	3441	1433
353	3447	1421
354	3452	1410
355	3459	1399
356	3465	1388
357	3471	1376
358	3476	1365
359	3481	1354
360	3487	1342
361	3492	1331
362	3497	1320
363	3502	1308
364	3507	1297
365	3511	1285
366	3517	1274
367	3524	1264
368	3528	1252
369	3533	1241
370	3537	1230
371	3542	1218
372	3547	1208
373	3552	1196
374	3557	1185
375	3563	1175
376	3568	1164
377	3573	1153
378	3579	1142
379	3584	1131
380	3589	1121
381	3594	1110
382	3599	1099
383	3603	1088
384	3608	1077
385	3613	1067
386	3619	1056
387	3623	1045
388	3627	1035
389	3631	1024
390	3635	1013
391	3640	1002
392	3644	992
393	3649	981
394	3653	971
395	3657	960
396	3661	949
397	3665	939
398	3669	928
399	3673	918
400	3677	908
401	3681	897
402	3686	887
403	3690	876
404	3694	866
405	3698	856
406	3702	846
407	3707	836
408	3710	825
409	3715	815
410	3719	805
411	3724	795
412	3727	785
413	3732	775
414	3736	765
415	3740	755
416	3744	745
417	3748	735
418	3752	725
419	3757	715
420	3761	705
421	3765	696
422	3769	686
423	3774	676
424	3778	666
425	3783	657
426	3787	647
427	3791	637
428	3795	628
429	3799	618
430	3805	609
431	3810	599
432	3814	590
433	3819	580
434	3823	571
435	3828	562
436	3834	552
437	3839	543
438	3844	534
439	3849	524
440	3854	515
441	3860	506
442	3864	497
443	3869	488
444	3874	478
445	3878	469
446	3884	460
447	3888	451
448	3894	442
449	3915	435
450	3924	426
451	3936	417
452	3951	409
453	3958	401
454	3963	391
455	3967	382
456	3971	373
457	3975	364
458	3982	355
459	3989	346
460	3995	338
461	4001	329
462	4006	320
463	4011	311
464	4016	302
465	4021	293
466	4027	284
467	4031	275
468	4037	266
469	4042	258
470	4046	249
471	4051	240
472	4055	231
473	4060	222
474	4065	213
475	4070	205
476	4075	196
477	4080	187
478	4085	179
479	4090	170
480	4095	161
481	4099	153
482	4104	144
483	4108	135
484	4112	127
485	4116	118
486	4121	110
487	4125	101
488	4129	92
489	4133	84
490	4138	75
491	4142	67
492	4147	58
493	4152	50
494	4158	42
495	4164	33
496	4169	25
497	4175	16
498	4182	8
499	4187	0

