iter	MAE
0	51.76813383
1	51.2843351
2	50.80154481
3	50.32601301
44	50.0124277255	49.5861605966	49.1611849877	48.7646012288	48.3600179
9	47.98474275
10	47.64889148
11	47.30242974
12	46.96740699
13	46.64654864
14	46.33677081
15	46.03493264
16	45.76713373
17	45.4932458
118	45.35073288119	45.08611520	44.7475745
21	44.54378841
22	422	44.3506423	23	44.11889624	24	43.91021625	25	43.70520026	26	43.48506027	27	43.28511428	28	43.08202229	29	42.89668430	30	42.72845431	31	42.57185832	42.43338797
33	33	42.2521134	434	42.1075635	435	41.9620436	36	41.81934437	37	41.68052538	38	41.54124739	39	41.40499640	40	41.27080541	41	41.14366742	42	41.02001143	43	40.91417444	44	40.81312845	45	40.72136746	46	40.62199347	47	40.51799548	48	40.42137849	49	40.33572950	40.23885992
51	40.14824109
52	40.06975079
53	39.98566831
54	54	39.89561255	39.80091104
56	56	39.72552057	39.6450989
58	39.57224435
59	39.48826313
60	39.41978835
61	39.34694338
62	362	39.2995663	363	39.2394064	64	39.17153565	65	39.11429066	39.02366923
67	38.96076692
68	38.8925755
69	38.82941423
70	38.78363065
71	38.73240805
72	38.69327614
73	38.64675068
74	38.59786834
75	38.55178822
76	38.49825443
77	38.43771039
78	38.39053039
79	38.33390774
80	38.28919626
81	38.24176344
82	38.19118184
83	38.1451979
84	38.10596226
85	38.05794738
86	38.02344099
87	37.97619781
88	37.93081135
89	37.89331197
90	390	37.8753991	391	37.84447431
92	37.79741222
93	37.76015586
94	37.72044092
95	37.68740161
96	37.65386447
97	37.62249424
98	37.59119255
99	37.55475278
100	37.52806917
101	37.49443332
102	37.46807395
103	37.42918708
104	37.40210691
105	37.37930612
106	37.35079036
107	37.32423366
108	37.30027133
109	37.26435524
110	37.23282766
111	37.20384823
112	37.17918225
113	37.14790181
114	37.11574378
115	37.08996863
116	37.06874581
117	37.04463628
118	37.02094625
119	36.99997751
120	36.96680897
121	36.94417512
122	36.91675766
123	36.87997385
124	36.85754253
125	36.83784358
126	36.81816437
127	36.79925925
128	36.7814028
129	36.75736065
130	36.73720292
131	36.71610775
132	36.69005814
133	36.67092915
134	36.65533807
135	36.63597864
136	36.60895313
137	36.59138726
138	36.57556199
139	36.55884154
140	36.53530006
141	36.51875414
142	36.5018048
143	36.48565227
144	36.46925456
145	36.45376201
146	36.43717151
147	36.42549263
148	36.41285527
149	36.39699773
150	36.37948936
151	36.36203543
152	36.34060139
153	36.32381591
154	36.30833689
155	36.295591
156	36.28348278
157	36.26938074
158	36.25413446
159	36.23580969
160	36.21572691
161	36.20214169
162	36.1900417
163	36.17591933
164	36.16270023
165	36.14731661
166	36.13335123
167	36.11626707
168	36.10508855
169	36.09491718
170	36.08296982
171	36.07139815
172	36.05942499
173	36.04701823
174	36.02871805
175	36.01417258
176	36.00059841
177	35.98446335
178	35.97509353
179	35.96101382
180	35.94947357
181	35.938205
182	35.92493242
183	35.91340821
184	35.90099308
185	35.89028811
186	35.87872344
187	35.8680139
188	35.85923577
189	35.85131882
