iter	MAE
0	51.53736187
1	50.58014291
2	49.69241861
3	48.88464866
4	48.11425929
5	47.40027985
6	46.75804311
7	46.15312335
8	45.5749892
9	45.0296902
10	44.50435873
11	44.02255322
12	43.61092092
13	43.17519812
14	42.7832118
15	42.40192257
16	42.0544765
17	41.73181737
18	41.40112136
19	41.09304843
20	40.81127921
21	40.52646512
22	40.26810827
23	40.01921706
24	39.79254556
25	39.58064303
26	39.37579786
27	39.17676537
28	38.99860354
29	38.80351604
30	38.62772578
31	38.45276916
32	38.28959903
33	38.14706709
34	38.01244954
35	37.86453871
36	37.73700129
37	37.60634424
38	37.47969894
39	37.36985973
40	37.24926441
41	37.15088464
42	37.04612205
43	36.94307748
44	36.84530235
45	36.75929673
46	36.6505725
47	36.55521195
48	36.47860755
49	36.39543391
50	36.32520072
51	36.23993869
52	36.15761379
53	36.08560192
54	36.00589338
55	35.94072516
56	35.87413289
57	35.8221185
58	35.76101215
59	35.69482578
60	35.64088906
61	35.58349612
62	35.51907181
63	35.47004633
64	35.42310556
65	35.36366874
66	35.30930119
67	35.26288179
68	35.21945175
69	35.16828479
70	35.12600474
71	35.07736458
72	35.03656748
73	34.99442649
74	34.95329606
75	34.91763015
76	34.87305001
77	34.83247681
78	34.78974963
79	34.75698695
80	34.7206924
81	34.67905066
82	34.64435392
83	34.6111443
84	34.57815697
85	34.5468157
86	34.51492751
87	34.48718121
88	34.4520835
89	34.42201651
90	34.39230644
91	34.36766615
92	34.33570608
93	34.3085667
94	34.28160859
95	34.25380384
96	34.23292401
97	34.21168291
98	34.18708597
99	34.16660985
100	34.14076096
101	34.11677337
102	34.09244085
103	34.06522655
104	34.04137884
105	34.01848009
106	34.00036446
107	33.97930393
108	33.95530545
109	33.9372906
110	33.91791272
111	33.9004926
112	33.87458709
113	33.84742635
114	33.82652958
115	33.80620727
116	33.7847264
117	33.75887462
118	33.74275626
119	33.72286042
120	33.70334878
121	33.68070087
122	33.66131931
123	33.63636648
124	33.61757644
125	33.59968635
126	33.58638322
127	33.56563208
128	33.55063983
129	33.53280589
130	33.5113544
131	33.49407356
132	33.47427755
133	33.454776
134	33.43821897
135	33.42037537
136	33.39515563
137	33.38085237
138	33.36263187
139	33.34952661
140	33.3324739
141	33.31812555
142	33.30211095
143	33.28790407
144	33.27198891
145	33.26212575
146	33.24763119
147	33.23121705
148	33.20986847
149	33.19768271
150	33.18521709
151	33.17034582
152	33.15467936
153	33.13489964
154	33.12205014
155	33.10671247
156	33.08903978
157	33.07241943
158	33.0531256
159	33.03803177
160	33.02820807
161	33.01200727
162	32.99523256
163	32.98203518
164	32.97051533
165	32.95662085
166	32.94482648
167	32.93109023
168	32.91852274
169	32.90896609
170	32.89666118
171	32.88579505
172	32.8707721
173	32.86019811
174	32.84536675
175	32.83481181
176	32.82430962
177	32.81287867
178	32.80281351
179	32.78823986
180	32.77366001
181	32.75567194
182	32.73852755
183	32.72535294
184	32.71581679
185	32.70418188
186	32.6921263
187	32.68109411
188	32.66367951
189	32.65237923
190	32.63959765
191	32.6293251
192	32.61763238
193	32.60743998
194	32.59501897
195	32.57347677
196	32.56337839
197	32.55132721
198	32.54193281
199	32.53124574
200	32.51831078
201	32.50982518
202	32.49457157
203	32.48060989
204	32.46834801
205	32.45473507
206	32.44287689
207	32.42823435
208	32.41586206
209	32.40432147
210	32.39207877
211	32.3781105
212	32.36772818
213	32.35288675
214	32.3403094
215	32.32565596
216	32.31208849
217	32.29858018
218	32.28581954
219	32.26291762
220	32.24764875
221	32.23074545
222	32.21794538
223	32.20537647
224	32.19571575
225	32.18420795
226	32.17253838
227	32.16244319
228	32.15272075
229	32.14104545
230	32.12717125
231	32.11625383
232	32.10579478
233	32.0939163
234	32.07749197
235	32.06650965
236	32.05293985
237	32.04130405
238	32.02506872
239	32.01438952
240	32.00492803
241	31.99421102
242	31.98300428
243	31.97269239
244	31.96089891
245	31.95063902
246	31.93447982
247	31.92182439
248	31.90988498
249	31.89651592
250	31.88325388
251	31.87310574
252	31.86150342
253	31.85285591
254	31.84381786
255	31.83303176
256	31.81476168
257	31.79809713
258	31.78619316
259	31.77657004
260	31.76562861
261	31.75566451
262	31.7440248
263	31.73144503
264	31.72017155
265	31.7105292
266	31.69664473
267	31.68371147
268	31.66953926
269	31.65555344
270	31.63745427
271	31.6257569
272	31.61210264
273	31.60442392
274	31.59090634
275	31.58140188
276	31.56150228
277	31.55050076
278	31.53919584
279	31.52560026
280	31.51040409
281	31.49311005
282	31.48279493
283	31.47417294
284	31.46436554
285	31.45669917
286	31.44526333
287	31.43141313
288	31.4191361
289	31.40809674
290	31.39748804
291	31.38503653
292	31.37435901
293	31.3640979
294	31.35296451
295	31.34232437
296	31.32885058
297	31.31788685
298	31.30691669
299	31.29537712
300	31.28561955
301	31.27601989
302	31.2623463
303	31.25246233
304	31.2434672
305	31.23466001
306	31.22399216
307	31.21685394
308	31.20241613
309	31.19286385
310	31.18405579
311	31.17504784
312	31.16238434
313	31.1535983
314	31.14142148
315	31.13424008
316	31.12471296
317	31.11487434
318	31.10338986
319	31.09216767
320	31.08102157
321	31.0707945
322	31.05976064
323	31.04760636
324	31.03844894
325	31.02519566
326	31.0163115
327	31.0072883
328	30.9977875
329	30.98532761
330	30.97249002
331	30.96226676
332	30.95370415
333	30.94472554
334	30.93242514
335	30.92314978
336	30.91478794
337	30.90441754
338	30.89662952
339	30.88964684
340	30.87941816
341	30.87029121
342	30.86246011
343	30.85411204
344	30.84469712
345	30.83600642
346	30.8283714
347	30.81821438
348	30.80657144
349	30.79916949
350	30.79265091
351	30.78443692
352	30.77714045
353	30.76559144
354	30.75622022
355	30.74909609
356	30.73999684
357	30.73050103
358	30.7185427
359	30.71141186
360	30.70391535
361	30.6918571
362	30.68336396
363	30.67354955
364	30.66306351
365	30.65366084
366	30.64628834
367	30.63843469
368	30.62940136
369	30.61905206
370	30.60951513
371	30.60266827
372	30.59466359
373	30.58443029
374	30.57685314
375	30.56856577
376	30.55922344
377	30.54827552
378	30.54140327
379	30.53469414
380	30.52592961
381	30.51943423
382	30.51234327
383	30.50515079
384	30.49526115
385	30.4883614
386	30.47791953
387	30.4700575
388	30.46191142
389	30.45340893
390	30.44617605
391	30.43947832
392	30.43183267
393	30.42168131
394	30.41438513
395	30.40447262
396	30.39517395
397	30.38731907
398	30.37909531
399	30.37046374
400	30.36371279
401	30.35578076
402	30.34864691
403	30.33717511
404	30.32635638
405	30.31768903
406	30.30982224
407	30.30342672
408	30.29620074
409	30.28728879
410	30.28209312
411	30.27416555
412	30.26602973
413	30.25832169
414	30.24807508
415	30.23984082
416	30.22929808
417	30.22012733
418	30.21122295
419	30.20324213
420	30.19616438
421	30.18313792
422	30.17479564
423	30.1680776
424	30.16002221
425	30.15101161
426	30.13960702
427	30.13126263
428	30.12299626
429	30.11350015
430	30.10465857
431	30.09725151
432	30.0912507
433	30.08340845
434	30.07536341
435	30.0697874
436	30.06134924
437	30.05503757
438	30.04519895
439	30.03886048
440	30.03154472
441	30.02338755
442	30.01620735
443	30.00975633
444	30.00293151
445	29.99630215
446	29.98804562
447	29.98173211
448	29.97533867
449	29.9672826
450	29.95954352
451	29.9516785
452	29.94374195
453	29.9356375
454	29.92394032
455	29.91901908
456	29.91198589
457	29.90244482
458	29.89629929
459	29.88788841
460	29.87964073
461	29.87206379
462	29.86668355
463	29.85871079
464	29.84844418
465	29.84030987
466	29.83195462
467	29.82613642
468	29.81717062
469	29.80967917
470	29.80244309
471	29.79584513
472	29.78790317
473	29.78204088
474	29.77491299
475	29.767163
476	29.76032186
477	29.74935693
478	29.74240588
479	29.73231823
480	29.72287553
481	29.71414839
482	29.70632786
483	29.69976197
484	29.69398538
485	29.68549114
486	29.68008362
487	29.67113
488	29.66586319
489	29.65965682
490	29.65320222
491	29.64402365
492	29.63658966
493	29.62868924
494	29.6224402
495	29.61613029
496	29.60826689
497	29.60085474
498	29.59381246
499	29.58758351
500	29.58115671
501	29.57472279
502	29.56769014
503	29.56199469
504	29.55644158
505	29.54937876
506	29.54166157
507	29.53592341
508	29.52858289
509	29.52030292
510	29.51365672
511	29.50704675
512	29.49988156
513	29.49377259
514	29.48684836
515	29.48077486
516	29.47409598
517	29.46820939
518	29.46160339
519	29.45380375
520	29.44749871
521	29.44039068
522	29.43468391
523	29.42988418
524	29.42034116
525	29.41579856
526	29.40900984
527	29.40194448
528	29.39680317
529	29.39033699
530	29.38412564
531	29.37935049
532	29.372787
533	29.36649791
534	29.35877602
535	29.3512105
536	29.34564238
537	29.33889473
538	29.33271062
539	29.32481127
540	29.31847649
541	29.31228822
542	29.30555441
543	29.2982716
544	29.29032389
545	29.28559826
546	29.27781678
547	29.27133229
548	29.26422095
549	29.25788582
550	29.251367
551	29.24604808
552	29.24044689
553	29.23346911
554	29.22547212
555	29.21870992
556	29.21286299
557	29.20534255
558	29.19837712
559	29.19476209
560	29.18850151
561	29.18290907
562	29.1752675
563	29.16901953
564	29.16427994
565	29.15779157
566	29.15224974
567	29.14459487
568	29.13896844
569	29.13054886
570	29.12331839
571	29.11739018
572	29.11140961
573	29.10643139
574	29.09774224
575	29.09134961
576	29.08466913
577	29.08031674
578	29.07145433
579	29.06367101
580	29.05764578
581	29.05151005
582	29.04299615
583	29.03572583
584	29.0307637
585	29.0247671
586	29.01814903
587	29.01123736
588	29.00520204
589	28.99891595
590	28.99039155
591	28.98465296
592	28.97985266
593	28.97510898
594	28.96785303
595	28.96327343
596	28.95879298
597	28.95395973
598	28.94859117
599	28.94302103
600	28.93670996
601	28.93133424
602	28.92446184
603	28.91547189
604	28.90748222
605	28.90221189
606	28.89608072
607	28.89109492
608	28.88560547
609	28.87937304
610	28.87280187
611	28.86598183
612	28.85947371
613	28.84958393
614	28.84349299
615	28.83714617
616	28.83144262
617	28.82409678
618	28.81892454
619	28.81406486
620	28.80797514
621	28.80261733
622	28.79609325
623	28.79040577
624	28.78678988
625	28.78137514
626	28.77472688
627	28.77010034
628	28.76254814
629	28.75812684
630	28.74999663
631	28.74271484
632	28.73731108
633	28.7318718
634	28.72680182
635	28.72131405
636	28.71565808
637	28.70619163
638	28.69890824
639	28.69421339
640	28.68841085
641	28.68257664
642	28.67636869
643	28.66953476
644	28.66172594
645	28.65494488
646	28.64766429
647	28.64074709
648	28.63592064
649	28.63049052
650	28.6247935
651	28.61859953
652	28.61075751
653	28.60483889
654	28.59892145
655	28.59167205
656	28.58563642
657	28.57960575
658	28.57465783
659	28.56856178
660	28.56099906
661	28.5563032
662	28.5521382
663	28.54449737
664	28.53846123
665	28.53322169
666	28.52770203
667	28.52225372
668	28.51575449
669	28.51144705
670	28.50377087
671	28.49833766
672	28.49339626
673	28.487818
674	28.48133571
675	28.47563987
676	28.47161869
677	28.46610464
678	28.45947868
679	28.45420951
680	28.44922461
681	28.44289346
682	28.43645888
683	28.43109335
684	28.42738037
685	28.42041097
686	28.41173366
687	28.40716774
688	28.40098383
689	28.39376593
690	28.38756456
691	28.38302106
692	28.37804906
693	28.3717023
694	28.36502
695	28.35721121
696	28.35264068
697	28.34695891
698	28.33686359
699	28.33117451
700	28.32795215
701	28.32287658
702	28.3160846
703	28.3099275
704	28.30203325
705	28.29825255
706	28.29337286
707	28.28582674
708	28.28022146
709	28.27286538
710	28.26836373
711	28.26333037
712	28.25429265
713	28.24974365
714	28.24327959
715	28.23857044
716	28.23385867
717	28.2278258
718	28.22286723
719	28.21670644
720	28.21128108
721	28.20592495
722	28.19990712
723	28.1928337
724	28.18820453
725	28.18341652
726	28.17710622
727	28.17133838
728	28.16604089
729	28.16006883
730	28.15604763
731	28.1478967
732	28.1438882
733	28.13832585
734	28.1333041
735	28.12784916
736	28.12225479
737	28.1169891
738	28.11125229
739	28.10607437
740	28.10148927
741	28.09697669
742	28.08963689
